model,time_seconds,ram_after_mb,document_id,rouge1_f1,rouge2_f1,rougeL_f1
Lead-3 Baseline,0.0035084999981336296,0.0009565353393554688,34363226,0.1388888845408952,0.0,0.11111110676311746
Lead-3 Baseline,0.0008169999928213656,0.0005397796630859375,36914724,0.029850743524170446,0.0,0.029850743524170446
Lead-3 Baseline,0.001818799995817244,0.00046634674072265625,40855910,0.14285713826530627,0.0,0.11428570969387775
Lead-3 Baseline,0.001045000011799857,0.000415802001953125,32736400,0.07407407006172861,0.0,0.07407407006172861
Lead-3 Baseline,0.0004039000195916742,0.0004425048828125,40648389,0.16393442235958086,0.031249996411133227,0.16393442235958086
Lead-3 Baseline,0.0018583000055514276,0.0006017684936523438,39258636,0.14141413807162542,0.0,0.12121211786960524
Lead-3 Baseline,0.0017120999982580543,0.00046634674072265625,38839837,0.14285713818775525,0.0,0.14285713818775525
Lead-3 Baseline,0.0008066000009421259,0.0004901885986328125,32136921,0.12307691921420132,0.0,0.09230768844497057
Lead-3 Baseline,0.0003699999942909926,0.00043964385986328125,35523296,0.16666666191358037,0.0,0.16666666191358037
Lead-3 Baseline,0.0008424999832641333,0.00040912628173828125,32612168,0.14035087274853814,0.0,0.14035087274853814
Lead-3 Baseline,0.000839899992570281,0.000457763671875,33638005,0.1621621576880936,0.024096381152562855,0.1621621576880936
Lead-3 Baseline,0.0015020999999251217,0.00048160552978515625,39654348,0.19178081750422227,0.0,0.13698629695627712
Lead-3 Baseline,0.002424700011033565,0.00045299530029296875,39950399,0.22950819243214193,0.0,0.16393442194033875
Lead-3 Baseline,0.005817999975988641,0.0005216598510742188,16222940,0.2318840544087377,0.07142856849489808,0.20289854716236091
Lead-3 Baseline,0.000985099992249161,0.00045013427734375,38389507,0.08823528955017325,0.0,0.08823528955017325
Lead-3 Baseline,0.0018425000016577542,0.00041675567626953125,30346384,0.12499999559082046,0.0,0.09374999559082052
Lead-3 Baseline,0.0005320000054780394,0.0005216598510742188,35436910,0.061538458726627346,0.0,0.061538458726627346
Lead-3 Baseline,0.00041619999683462083,0.0004863739013671875,29021180,0.0327868815372216,0.0,0.0327868815372216
Lead-3 Baseline,0.0030688999977428466,0.0006361007690429688,32713124,0.13861385721007757,0.0,0.07920791661601825
Lead-3 Baseline,0.0036327999841887504,0.0005083084106445312,36684452,0.18749999641113285,0.05194804881092952,0.18749999641113285
Lead-3 Baseline,0.0008445999992545694,0.00041103363037109375,34718944,0.10714285306122463,0.0,0.10714285306122463
Lead-3 Baseline,0.0017192999948747456,0.00046634674072265625,29455992,0.22535210862924027,0.026315785723684745,0.1971830945447333
Lead-3 Baseline,0.0015384999860543758,0.00046253204345703125,34152489,0.25352112248363423,0.05063290737381862,0.25352112248363423
Lead-3 Baseline,0.0009959000162780285,0.00043582916259765625,37805331,0.3283582042771219,0.0,0.2089552192024951
Lead-3 Baseline,0.0019056999881286174,0.00043582916259765625,36189022,0.19444443991126553,0.04999999570312537,0.13888888435571003
Lead-3 Baseline,0.0013014000141993165,0.00047397613525390625,35761011,0.16666666231867294,0.027397255957966528,0.1388888845408952
Lead-3 Baseline,0.0028196999919600785,0.0006465911865234375,39632041,0.09523809262188217,0.0,0.09523809262188217
Lead-3 Baseline,0.0012558999878820032,0.00045871734619140625,29252950,0.22222221777777784,0.024096381152562855,0.19444444000000013
Lead-3 Baseline,0.0010922999936155975,0.0004024505615234375,40615948,0.1333333285333335,0.0,0.1333333285333335
Lead-3 Baseline,0.00048340001376345754,0.00045299530029296875,36226983,0.11940298159946547,0.0,0.08955223533080878
