model,document_id,time_seconds,python_memory_delta_mb,rouge1_f1,rouge2_f1,rougeL_f1
Lead-3 Baseline,34363226,0.0024391000042669475,0.0012617111206054688,0.15189873417721517,0.0,0.10126582278481013
Lead-3 Baseline,36914724,0.0005672999541275203,0.0005397796630859375,0.02439024390243903,0.0,0.02439024390243903
Lead-3 Baseline,40855910,0.0012531999964267015,0.00046634674072265625,0.11904761904761904,0.0,0.07142857142857144
Lead-3 Baseline,32736400,0.000762699986808002,0.000415802001953125,0.09836065573770492,0.0,0.09836065573770492
Lead-3 Baseline,40648389,0.0002502999850548804,0.0004425048828125,0.2571428571428572,0.029411764705882353,0.14285714285714288
Lead-3 Baseline,39258636,0.0026144000003114343,0.0006017684936523438,0.125,0.0,0.08928571428571429
Lead-3 Baseline,38839837,0.0011468000011518598,0.00046634674072265625,0.17073170731707316,0.0,0.0975609756097561
Lead-3 Baseline,32136921,0.0006540999747812748,0.0004901885986328125,0.1518987341772152,0.0,0.10126582278481013
Lead-3 Baseline,35523296,0.00021460000425577164,0.00043964385986328125,0.18823529411764706,0.0,0.11764705882352942
Lead-3 Baseline,32612168,0.0009790000040084124,0.00040912628173828125,0.19718309859154928,0.0,0.1408450704225352
Lead-3 Baseline,33638005,0.0009377999813295901,0.000457763671875,0.18604651162790697,0.023809523809523808,0.1395348837209302
Lead-3 Baseline,39654348,0.0010779000003822148,0.00048160552978515625,0.30588235294117644,0.024096385542168676,0.1411764705882353
Lead-3 Baseline,39950399,0.0021711000008508563,0.00045299530029296875,0.2352941176470588,0.030303030303030304,0.14705882352941177
Lead-3 Baseline,16222940,0.005439900036435574,0.0005216598510742188,0.2272727272727273,0.09302325581395349,0.1590909090909091
Lead-3 Baseline,38389507,0.0007227999740280211,0.00045013427734375,0.17721518987341772,0.0,0.07594936708860758
Lead-3 Baseline,30346384,0.0013442999916151166,0.00041675567626953125,0.13513513513513514,0.0,0.10810810810810811
Lead-3 Baseline,35436910,0.00034899997990578413,0.0005216598510742188,0.05333333333333334,0.0,0.02666666666666667
Lead-3 Baseline,29021180,0.0002411000314168632,0.0004863739013671875,0.11267605633802816,0.0,0.05633802816901408
Lead-3 Baseline,32713124,0.0018955999985337257,0.0006361007690429688,0.23809523809523808,0.04838709677419355,0.11111111111111109
Lead-3 Baseline,36684452,0.004119899997022003,0.0005083084106445312,0.1951219512195122,0.05,0.12195121951219512
Lead-3 Baseline,34718944,0.0012281000381335616,0.00041103363037109375,0.08955223880597016,0.0,0.08955223880597016
Lead-3 Baseline,29455992,0.0012328000157140195,0.00046634674072265625,0.25316455696202533,0.025974025974025972,0.1518987341772152
Lead-3 Baseline,34152489,0.0009640000062063336,0.00046253204345703125,0.3132530120481928,0.04938271604938271,0.26506024096385544
Lead-3 Baseline,37805331,0.0007089999853633344,0.00043582916259765625,0.325,0.025641025641025637,0.17500000000000002
Lead-3 Baseline,36189022,0.001625100034289062,0.00043582916259765625,0.2142857142857143,0.048780487804878044,0.11904761904761905
Lead-3 Baseline,35761011,0.0010073999874293804,0.00047397613525390625,0.18666666666666668,0.0821917808219178,0.15999999999999998
Lead-3 Baseline,39632041,0.002001299988478422,0.0006465911865234375,0.10714285714285715,0.0,0.10714285714285715
Lead-3 Baseline,29252950,0.0009156999876722693,0.00045871734619140625,0.3516483516483517,0.06741573033707865,0.17582417582417584
Lead-3 Baseline,40615948,0.002378300006967038,0.0008373260498046875,0.22857142857142854,0.0,0.14285714285714285
Lead-3 Baseline,36226983,0.00038410001434385777,0.00045299530029296875,0.10810810810810811,0.0,0.05405405405405406
Proposed (Contextual ranker only),34363226,0.15301230002660304,0.01777935028076172,0.15189873417721517,0.0,0.10126582278481013
Proposed (Contextual ranker only),36914724,0.09249359997920692,0.005106925964355469,0.045454545454545456,0.0,0.045454545454545456
