epoch,training_loss,validation_loss
1,1.3681526171664398,1.2906196733315787
2,1.26280842560033,1.403772884607315
3,1.2207745010654132,1.2694443394740422
4,1.1195502719531456,1.3449085553487141
5,1.0528459714104732,1.4206834266583124
6,0.9604825700322787,1.5381589646140734
7,0.8964235764617722,1.6415427533288798
8,0.825411626836285,2.017594920595487
9,0.7640695180355882,2.062481049199899
10,0.7075181703742904,2.283721120158831
11,0.6001675884724439,3.350899963080883
12,0.5673797895743822,3.3764248088002207
13,0.47531768038946515,3.132178168495496
14,0.3998583703651093,4.459285607437293
15,0.36863299096107766,4.2896216650803884
